user_id,author_name,business_name,rating,text,review_time,review_timestamp,gmap_id,address,description,latitude,longitude,avg_rating,num_of_reviews,price,state,url,categories,pics_count,response_time,response_text,pics_urls,hours,misc_data,relative_results
100716448730490557646,LeeAnna Bohnert,Denali Brewing Company,5.0,Love the Blueberry Mojito & Single Engine red beer 🍺😋,2021-04-25 09:03:56,1619312636070,0x56cec6e933d7fa6d:0x32171365154cc8cc,"Denali Brewing Company, 37083 Talkeetna Spur Rd, Talkeetna, AK 99676",,62.1613125,-150.0292307,4.8,146,,Closed ⋅ Opens 11AM Thu,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56cec6e933d7fa6d:0x32171365154cc8cc?authuser=-1&hl=en&gl=us,Brewery,3,,,https://lh5.googleusercontent.com/p/AF1QipP3LfHJJpeQcuhIidm5wq7_gQER1A5o45x5kcdW=w150-h150-k-no-p | https://lh5.googleusercontent.com/p/AF1QipPh_wrqijvq5cjgvCu3DwvhaEThHOHhfKezoLAP=w150-h150-k-no-p | https://lh5.googleusercontent.com/p/AF1QipNVWjerqeSaHcB1QKNeD3qUmrF32JypqfpLqXUI=w150-h150-k-no-p,"{""Wednesday"":""11AM–8PM"",""Thursday"":""11AM–8PM"",""Friday"":""11AM–8PM"",""Saturday"":""11AM–8PM"",""Sunday"":""11AM–8PM"",""Monday"":""11AM–8PM"",""Tuesday"":""11AM–8PM""}","{""Service options"":[""Delivery""],""Accessibility"":[""Wheelchair accessible entrance""]}",0x56cec6ed4afddafb:0xad86c0b4e5ca6677 | 0x56ce9592ae4d0ca1:0xcbbdf1bc5c887c13 | 0x56ce958b794b8d83:0xe6da1493b2ea1ee8
105098064829371143483,Evan Beedle,Alaska Wildlife Conservation Center,5.0,"Love this place ❤️, totally awesome!",2019-06-25 16:17:15,1561450635417,0x56c876b20a7fd467:0xd959a1a66e3b4773,"Alaska Wildlife Conservation Center, Mile 79, Seward Hwy, Girdwood, AK 99587","Refuge for sick, wounded & orphaned animals that offers visitors a chance to see wildlife up close.",60.8212336,-148.9789137,4.7,2990,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c876b20a7fd467:0xd959a1a66e3b4773?authuser=-1&hl=en&gl=us,Wildlife refuge | Park | Tourist attraction,4,,,https://lh5.googleusercontent.com/p/AF1QipO3P3R_2lE61PICls8iJsGx5FOzBMuC8BYxYC3C=w150-h150-k-no-p | https://lh5.googleusercontent.com/p/AF1QipNVE5Hj_N5u1lc5R73MxFZwJN077p3rvXxDvsAl=w150-h150-k-no-p | https://lh5.googleusercontent.com/p/AF1QipPEWYRlmMm7UF3J_2onRPdQa1V3Jz092LbFL6Ij=w150-h150-k-no-p | https://lh5.googleusercontent.com/p/AF1QipNSIT6ay_0bc8nPQenjB4C3piPktxUPUQ0-zoE0=w150-h150-k-no-p,"{""Monday"":""10AM–5PM"",""Tuesday"":""10AM–5PM"",""Wednesday"":""10AM–5PM"",""Thursday"":""10AM–5PM"",""Friday"":""10AM–5PM"",""Saturday"":""10AM–5PM"",""Sunday"":""10AM–5PM""}","{""Accessibility"":[""Wheelchair accessible entrance""],""Amenities"":[""Good for kids""]}",0x56c89a04f821661f:0xa18c6267f53e05ea | 0x56c87408a89487d9:0xa2595ccc0268f32a | 0x56c877e9d4bc34fb:0x17595ca453d86455 | 0x56c8978933d04ddf:0x368c91807c3cce19
105544615568492257712,Suzy Hambach,Tequila 61,5.0,"Went to Tequila 61 Friday evening and LOVED it! The food was great, the price was right, the decor eclectic and the ambience exhilarating! Nothing like it in Anchorage.  GO!",2016-06-07 09:12:04,1465261924878,0x56c8bd877c06ac0f:0xebf1abe87d2435f5,"Tequila 61, 445 W 4th Ave, Anchorage, AK 99501","Rustic-chic outpost for contemporary Latin fare, local seafood & a selection of tequila & mezcal.",61.2188133,-149.8909986,4.3,497,$$,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c8bd877c06ac0f:0xebf1abe87d2435f5?authuser=-1&hl=en&gl=us,Restaurant | Bar | Cocktail bar | Mexican restaurant | Seafood restaurant,0,,,,"{""Tuesday"":""5–10PM"",""Wednesday"":""5–10PM"",""Thursday"":""5–10PM"",""Friday"":""5–11PM"",""Saturday"":""5–11PM"",""Sunday"":""Closed"",""Monday"":""Closed""}","{""Service options"":[""Curbside pickup"",""Takeout"",""Dine-in"",""Delivery""],""Health & safety"":[""Mask required"",""Staff wear masks"",""Staff required to disinfect surfaces between visits""],""Highlights"":[""Great beer selection"",""Great cocktails"",""Great dessert"",""Great wine list""],""Popular for"":[""Lunch"",""Dinner"",""Solo dining""],""Accessibility"":[""Wheelchair accessible entrance"",""Wheelchair accessible restroom"",""Wheelchair accessible seating""],""Offerings"":[""Alcohol"",""Beer"",""Cocktails"",""Hard liquor"",""Late-night food"",""Quick bite"",""Small plates"",""Wine""],""Dining options"":[""Lunch"",""Dinner"",""Catering"",""Dessert"",""Seating""],""Amenities"":[""Bar onsite"",""High chairs"",""Restroom""],""Atmosphere"":[""Casual"",""Cozy"",""Romantic"",""Upscale""],""Crowd"":[""College students"",""Groups"",""Tourists""],""Planning"":[""Dinner reservations recommended"",""Accepts reservations""],""Payments"":[""Debit cards"",""Credit cards""]}",0x56c8bd9677e31b99:0xcf76945510689f2a | 0x56c8eb6e44da81ef:0xcc97ff83ed7d7d17 | 0x56c89687fee8c1bd:0xe231f72ad3845f9f | 0x56c8bd80db765355:0x3e56cf5b27d2689a | 0x56c89628b3e0c5f9:0xf90b4630650f3f76
108056888658897631286,Debbie Butts,Twisted Sisters' Quilty Pleasures,5.0,Your imagination is fulfilled with the lovely fabrics and displays. A must visit for any quilter!,2016-04-25 13:28:24,1461562104873,0x56c8eb6e3e40ef5f:0x7287f59cbca7a7d9,"Twisted Sisters' Quilty Pleasures, 11401 Old Glenn Hwy #101-A, Eagle River, AK 99577",,61.3226658,-149.5694563,4.9,16,,Open ⋅ Closes 5PM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c8eb6e3e40ef5f:0x7287f59cbca7a7d9?authuser=-1&hl=en&gl=us,Quilt shop,0,2016-04-26 22:47:36,Thank you for the sweet review 💕 We have such fantastic quilter's that come into TSQP.,,"{""Saturday"":""10AM–5PM"",""Sunday"":""Closed"",""Monday"":""Closed"",""Tuesday"":""10AM–5PM"",""Wednesday"":""10AM–5PM"",""Thursday"":""10AM–5PM"",""Friday"":""10AM–5PM""}","{""Service options"":[""Curbside pickup"",""In-store pickup"",""In-store shopping"",""Delivery""],""Accessibility"":[""Wheelchair accessible entrance""],""Planning"":[""Quick visit""]}",0x56c8eb75674aa503:0xcaa9d73c2072e56 | 0x56c8bd8715bb6f2b:0xd28ee776de7c3b34 | 0x56c897c885db920d:0x8ce7382664dc2e5f | 0x56c897bbef7b75ab:0xe71138b9d38041ce | 0x56c8dcfbe2a1e8d7:0x12981bded7dab33d
111466715882120733224,Marc Lamothe,The Broken Blender,5.0,"oh god they put up with multiple rugby teams multiple nights. staff is patient and fun, drinks are solid, food was also great. 100% will be back next time I'm through Anchorage.",2021-06-23 10:43:08,1624416188059,0x56c8bd577ae4ab31:0x78d54edcd6b7b80a,"The Broken Blender, 535 W 3rd Ave, Anchorage, AK 99501",,61.2197157,-149.8930266,3.6,38,,Closed ⋅ Opens 11AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c8bd577ae4ab31:0x78d54edcd6b7b80a?authuser=-1&hl=en&gl=us,Cocktail bar,0,,,,"{""Thursday"":""11AM–11PM"",""Friday"":""11AM–12AM"",""Saturday"":""11AM–12AM"",""Sunday"":""12–8PM"",""Monday"":""11AM–11PM"",""Tuesday"":""11AM–11PM"",""Wednesday"":""11AM–11PM""}","{""Service options"":[""Dine-in"",""Delivery"",""Takeout""],""Highlights"":[""Fast service"",""Great cocktails""],""Offerings"":[""Alcohol"",""Beer"",""Cocktails"",""Wine""],""Amenities"":[""Restroom""],""Atmosphere"":[""Casual""],""Crowd"":[""Groups""]}",
112981767330057185360,kristy walker,O'Reilly Auto Parts,5.0,Resonable prices normally good service,2017-11-16 02:39:29,1510771169242,0x56c8de6d060853ad:0x42963e0d62e5e8b,"O'Reilly Auto Parts, 231 E Parks Hwy, Wasilla, AK 99654",,61.5814323,-149.4456478,4.3,348,,Open ⋅ Closes 10PM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c8de6d060853ad:0x42963e0d62e5e8b?authuser=-1&hl=en&gl=us,Auto parts store | Auto body parts supplier | Car battery store | Car repair and maintenance | Car stereo store | Motorcycle parts store | Trailer supply store | Truck accessories store,0,,,,"{""Tuesday"":""7:30AM–10PM"",""Wednesday"":""7:30AM–10PM"",""Thursday"":""7:30AM–10PM"",""Friday"":""7:30AM–10PM"",""Saturday"":""7:30AM–10PM"",""Sunday"":""8AM–8PM"",""Monday"":""7:30AM–10PM""}","{""Service options"":[""Curbside pickup"",""In-store pickup"",""In-store shopping""],""Health & safety"":[""Staff required to disinfect surfaces between visits""],""Accessibility"":[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""],""Planning"":[""Quick visit""],""Payments"":[""Checks"",""Debit cards"",""Credit cards""]}",0x56c8de1960d37355:0xd1b67f8e19b7473 | 0x56c8de1461b6f1ed:0xfd162a17131c99cc | 0x56c8de14f515979b:0xfb7fd8d87b8c7c34 | 0x56c8de13f369c559:0xbbdfd7df0a75cdd7 | 0x56c8de6e66fa88bf:0x9a2ee7ebc46a45a
117786392717006391867,D C,Government Peak Recreation Area,5.0,Best place to mountain bike in the valley.,2019-06-11 05:22:47,1560201767838,0x56c921be685f397d:0x5fb4743b133b2c47,"Government Peak Recreation Area, N Mountain Trails Dr, Palmer, AK 99645",,61.7032553,-149.2769189,4.8,96,,Open now,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c921be685f397d:0x5fb4743b133b2c47?authuser=-1&hl=en&gl=us,Park | Tourist attraction,0,,,,,"{""Accessibility"":[""Wheelchair accessible entrance""],""Amenities"":[""Good for kids""]}",0x56c921bde34bced1:0x9d1cb63d7b4841bc | 0x56c8e1ef374031e9:0xe4a15d46d85dedcb | 0x56c922e49313488b:0x8e36a295a1f88902 | 0x56c9223bd1918c8b:0x9c13761d9ae5936d | 0x56c9230aad098cc7:0x6a70e92a48de9270
112252381832007300011,Rebecca Ma,Old Town Diner,5.0,Delicious food!!!,2018-03-19 10:25:27,1521426327984,0x56b646917e469e81:0x38f8352148a5175f,"Old Town Diner, 139 E Pioneer Dr, Valdez, AK 99686",,61.1309881,-146.3467114,4.5,398,$$,Closed ⋅ Opens 11AM Tue,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56b646917e469e81:0x38f8352148a5175f?authuser=-1&hl=en&gl=us,Hamburger restaurant,0,,,,"{""Monday"":""11AM–8PM"",""Tuesday"":""11AM–8PM"",""Wednesday"":""5AM–8PM"",""Thursday"":""5AM–8PM"",""Friday"":""5AM–8PM"",""Saturday"":""5AM–8PM"",""Sunday"":""5AM–8PM""}","{""Service options"":[""Takeout"",""Dine-in"",""Delivery""],""Health & safety"":[""Staff required to disinfect surfaces between visits""],""Highlights"":[""Great coffee""],""Popular for"":[""Breakfast"",""Lunch"",""Dinner"",""Solo dining""],""Accessibility"":[""Wheelchair accessible entrance""],""Offerings"":[""Coffee"",""Comfort food"",""Kids' menu"",""Quick bite""],""Amenities"":[""Good for kids"",""High chairs""],""Atmosphere"":[""Casual"",""Cozy""],""Crowd"":[""College students"",""Groups"",""Tourists""],""Payments"":[""NFC mobile payments""]}",0x56b647ef6bf796d1:0x65c0f7e0de3f912c | 0x56b646902f0c8753:0x62063567ce932da9 | 0x56b6475dcc68cfd5:0x7a3b7d70b3391990 | 0x56b646902f0e02db:0xa5a9d630818cbca4
112418750433716887276,Chenne Fratis,Begich Football Field,4.0,Enjoyed walking the track.,2020-05-26 10:55:00,1590461700293,0x56c89696204e2be9:0x1fb6d4256df477d0,"Begich Football Field, 7440 Creekside Center Drive, Anchorage, AK 99504",,61.2084159,-149.7460633,4.5,14,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c89696204e2be9:0x1fb6d4256df477d0?authuser=-1&hl=en&gl=us,Football Field,0,,,,,"{""Accessibility"":[""Wheelchair accessible entrance""]}",0x56c897d8a22b8655:0x1314d9bcdb350b66 | 0x56c89668c3633d03:0x4a85853defd25920 | 0x56c896f7913d25c1:0x7dc73fa42fb40628 | 0x56c897cce3ca5397:0x473d012a2ae87e82 | 0x56c89b5d7ca00b6b:0x267db7f0bd5699e1
100642826935648302747,Tommy Britt,Chevrolet of South Anchorage,1.0,"Went to the dealership looking for a new Tahoe and to trade in my vehicle. The salesman I worked with was ok, I told him exactly what I was looking for and he showed me it. After I left the dealership with my Tahoe I was leaving a week after that and driving out of state. I knew it would take maybe a week for the payoff to come on the Subaru, however several weeks passed by, I was about to have to make the payment on the Subaru I no longer owned and also the Tahoe I had in my possession. When I called and spoke with the finance department I was a little irritated, what made it worse was the person I was talking to told me I should feel lucky I had the Tahoe and that it took a lot for them to get me in it. If I had been in state I would have loved to take the Tahoe back and throw them the keys. After the payoff finally went through on the subaru, I went ahead and got refinance at a much lower rate and lower payment with my bank instead of gm financial, thank you northern skies. So on to the next story, I turned in paperwork (which took three days for them to email to me) to cancel my over priced gap insurance and my over priced extended warranty with them a couple weeks ago, still have yet to hear anything back and now Calvin I believe his name is, won't return my phone calls or an email. I sat on the phone on hold for 15 minutes with a dealership that never has anyone in it, was hung up on before talking to someone, then when I called back all I got was a voicemail. Still waiting to hear something! Overall I would not suggest buying anything from these people, not because of their sales department but because their finance team needs to work on their customer service. If I did my job as slowly as them and still made mistakes I wouldn't have a job anymore.",2018-07-30 01:11:50,1532884310709,0x56c899c55b426f17:0x279f14fc828309cc,"Chevrolet of South Anchorage, 9100 Old Seward Hwy, Anchorage, AK 99515",,61.1381187,-149.8663481,4.3,978,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c899c55b426f17:0x279f14fc828309cc?authuser=-1&hl=en&gl=us,Chevrolet dealer | Car dealer | Truck dealer | Used car dealer,0,2018-07-31 03:01:16,"Tommy, we're sorry to hear about your experience. Please reach out to the general manager, David, at (907) 205-4776 to discuss this in more detail.",,"{""Monday"":""9AM–8PM"",""Tuesday"":""9AM–8PM"",""Wednesday"":""9AM–8PM"",""Thursday"":""9AM–8PM"",""Friday"":""9AM–8PM"",""Saturday"":""9AM–8PM"",""Sunday"":""11AM–6PM""}","{""Service options"":[""In-store shopping""],""Accessibility"":[""Wheelchair accessible entrance""],""Offerings"":[""Car rental"",""Oil change"",""Repair services""],""Payments"":[""Debit cards"",""NFC mobile payments""]}",0x56c8963a4a52d9dd:0x721a9d2adb7694b3 | 0x56c899c413827ab9:0x68b730bdf5fea1b4 | 0x56c89641bb74093d:0x7c8bac344b2194e1 | 0x56c897cb5c9b2297:0xbb6eb5e2d68529db | 0x56c899c44c07dc4d:0xa267e6abf4b97c82
